country_co,country_na,mean,month
LT,Lesotho,0.0001024723701982,2019-01
WZ,Swaziland,0.0001314151506517,2019-01
MF,Mayotte,8.583674189433241e-05,2019-01
NG,Niger,5.968483946578974e-05,2019-01
SU,Sudan,8.28625355537783e-05,2019-01
LY,Libya,4.29606761354779e-05,2019-01
UU,Koualou Area,0.0001685673240451,2019-01
TS,Tunisia,5.912366945946721e-05,2019-01
EG,Egypt,4.836073132597843e-05,2019-01
EG,Bir Tawil,5.63154170510236e-05,2019-01
SU,Halaib Triangle,5.447772372814052e-05,2019-01
ER,Eritrea,9.049853908310436e-05,2019-01
ET,Ethiopia,0.0001234470173447,2019-01
DJ,Djibouti,7.367124192136585e-05,2019-01
SO,Somalia,8.056889463873324e-05,2019-01
OD,South Sudan,0.0002088089500408,2019-01
UU,Abyei Area,0.0001581508801064,2019-01
KE,Kenya,0.0001048687265605,2019-01
UG,Uganda,0.000171856854956,2019-01
TZ,Tanzania,9.842066983294732e-05,2019-01
MZ,Mozambique,0.0001171157195787,2019-01
CN,Comoros,8.201906426542797e-05,2019-01
MA,Madagascar,9.8240368821635e-05,2019-01
CV,Cabo Verde,5.862733439731378e-05,2019-01
WI,Western Sahara,4.223054734088752e-05,2019-01
MR,Mauritania,5.001468396765988e-05,2019-01
MO,Morocco,6.41790208771615e-05,2019-01
SP,Spain (Canary Is),4.9905170247806816e-05,2019-01
PO,Portugal (Madeira Is),4.020407309903195e-05,2019-01
SP,Spain (Africa),4.713411349859188e-05,2019-01
AG,Algeria,4.885317822157881e-05,2019-01
ML,Mali,7.115071318510466e-05,2019-01
UV,Burkina Faso,0.0001301378265023,2019-01
TO,Togo,0.0002246201545147,2019-01
GH,Ghana,0.0002297150566511,2019-01
IV,Cote d'Ivoire,0.0002047314495971,2019-01
GV,Guinea,0.0002282854526597,2019-01
SG,Senegal,0.0001203867220035,2019-01
GA,"Gambia, The",0.0001281746892721,2019-01
PU,Guinea-Bissau,0.0001724250001756,2019-01
SL,Sierra Leone,0.0002616555295064,2019-01
LI,Liberia,0.0001972459203677,2019-01
BN,Benin,0.0001968871693933,2019-01
NI,Nigeria,0.0001968416957091,2019-01
CM,Cameroon,0.0002010829715869,2019-01
EK,Equatorial Guinea,0.0001572697824368,2019-01
TP,Sao Tome & Principe,0.0001295614211605,2019-01
GB,Gabon,0.0001574879447181,2019-01
CF,Rep of the Congo,0.0001782712858811,2019-01
CT,Central African Rep,0.0002436942808592,2019-01
CG,Dem Rep of the Congo,0.0001705440491777,2019-01
CD,Chad,9.96177340521857e-05,2019-02
MI,Malawi,0.0001165416025106,2019-02
ZA,Zambia,0.000117739907992,2019-02
ZI,Zimbabwe,0.0001290234062601,2019-02
BC,Botswana,0.000153411387626,2019-02
WA,Namibia,0.0001260665181483,2019-02
AO,Angola,0.000140185540074,2019-02
BY,Burundi,0.0001044303093392,2019-02
RW,Rwanda,0.0001261329803625,2019-02
SF,South Africa,0.0001202048997157,2019-02
LT,Lesotho,0.0001019367771295,2019-02
WZ,Swaziland,0.0001331497035027,2019-02
MF,Mayotte,9.205174011251164e-05,2019-02
NG,Niger,6.620662967910902e-05,2019-02
SU,Sudan,9.22795260538424e-05,2019-02
LY,Libya,4.446083234997868e-05,2019-02
UU,Koualou Area,0.0001572656621262,2019-02
TS,Tunisia,6.445587541431651e-05,2019-02
EG,Egypt,5.117304840189189e-05,2019-02
EG,Bir Tawil,5.92481448877472e-05,2019-02
SU,Halaib Triangle,6.407412283458832e-05,2019-02
ER,Eritrea,0.0001008039185799,2019-02
ET,Ethiopia,0.0001274576300463,2019-02
DJ,Djibouti,8.287808658171085e-05,2019-02
SO,Somalia,8.441353604942278e-05,2019-02
OD,South Sudan,0.0001986552486422,2019-02
UU,Abyei Area,0.0001796852493946,2019-02
KE,Kenya,0.0001055442278891,2019-02
UG,Uganda,0.0001779841798783,2019-02
TZ,Tanzania,0.0001054199703192,2019-02
MZ,Mozambique,0.0001126341673452,2019-02
CN,Comoros,9.093646220270928e-05,2019-02
MA,Madagascar,9.9147210775611e-05,2019-02
CV,Cabo Verde,5.540078417688451e-05,2019-02
WI,Western Sahara,4.92761348416309e-05,2019-02
MR,Mauritania,5.837174368852338e-05,2019-02
MO,Morocco,6.435410354656946e-05,2019-02
SP,Spain (Canary Is),5.408452941671531e-05,2019-02
PO,Portugal (Madeira Is),4.004690910270012e-05,2019-02
SP,Spain (Africa),7.731949300494958e-05,2019-02
AG,Algeria,4.806624999912507e-05,2019-02
ML,Mali,8.452595225045996e-05,2019-02
UV,Burkina Faso,0.0001422249039504,2019-02
TO,Togo,0.0002250149191544,2019-02
GH,Ghana,0.0002194954066884,2019-02
IV,Cote d'Ivoire,0.0002140079208607,2019-02
GV,Guinea,0.0002485407780187,2019-02
SG,Senegal,0.0001361331294013,2019-02
GA,"Gambia, The",0.000163215538982,2019-02
PU,Guinea-Bissau,0.000228659258395,2019-02
SL,Sierra Leone,0.0002865494810659,2019-02
LI,Liberia,0.0002052762937809,2019-02
BN,Benin,0.0002090516167726,2019-02
NI,Nigeria,0.0002026793600045,2019-02
CM,Cameroon,0.0002353564826554,2019-02
EK,Equatorial Guinea,0.0001850197368438,2019-02
TP,Sao Tome & Principe,0.0001390381381317,2019-02
GB,Gabon,0.0001836970062097,2019-02
CF,Rep of the Congo,0.0002168481708578,2019-02
CT,Central African Rep,0.0002541031806086,2019-02
CG,Dem Rep of the Congo,0.0001991451317856,2019-02
CD,Chad,0.000109982375995,2019-03
MI,Malawi,0.0001268032056506,2019-03
ZA,Zambia,0.0001356039059275,2019-03
ZI,Zimbabwe,0.0001275901824967,2019-03
BC,Botswana,0.0001606758766156,2019-03
WA,Namibia,0.0001442275500789,2019-03
AO,Angola,0.0001672738518383,2019-03
BY,Burundi,0.0001316112683553,2019-03
RW,Rwanda,0.0001317480062823,2019-03
SF,South Africa,0.0001197352840475,2019-03
LT,Lesotho,0.0001013265672635,2019-03
WZ,Swaziland,0.0001321717827178,2019-03
MF,Mayotte,9.254970182472736e-05,2019-03
NG,Niger,8.937238094231319e-05,2019-03
SU,Sudan,9.242300271277344e-05,2019-03
LY,Libya,4.74461695714721e-05,2019-03
UU,Koualou Area,0.0001952961574077,2019-03
TS,Tunisia,5.64351856645632e-05,2019-03
EG,Egypt,5.549540350788893e-05,2019-03
