abbreviati,country_co,country_na,mean,wld_rgn,month
,SU,Halaib Triangle,5.8373403828282485e-05,Africa,2018-08
Erit.,ER,Eritrea,5.2384198246210414e-05,Africa,2018-08
Eth.,ET,Ethiopia,4.565088533043837e-05,Africa,2018-08
Dji.,DJ,Djibouti,5.1427648734862393e-05,Africa,2018-08
Som.,SO,Somalia,4.398855883795289e-05,Africa,2018-08
S. Sudan,OD,South Sudan,4.541446934790554e-05,Africa,2018-08
,UU,Abyei Area,4.815288187705148e-05,Africa,2018-08
,KE,Kenya,4.559897616255039e-05,Africa,2018-08
Ug.,UG,Uganda,4.707169905920042e-05,Africa,2018-08
Tanz.,TZ,Tanzania,5.815134509593671e-05,Africa,2018-08
Moz.,MZ,Mozambique,6.571590735135119e-05,Africa,2018-08
Como.,CN,Comoros,4.4465274237334124e-05,Africa,2018-08
Madag.,MA,Madagascar,5.431894467339318e-05,Africa,2018-08
C. Ver.,CV,Cabo Verde,5.023438762992979e-05,Africa,2018-08
W. Sah.,WI,Western Sahara,5.717596123304998e-05,Africa,2018-08
Maur.,MR,Mauritania,5.622004684128322e-05,Africa,2018-08
Mor.,MO,Morocco,6.649918731070293e-05,Africa,2018-08
Sp.,SP,Spain (Canary Is),6.38294557614229e-05,Africa,2018-08
Port.,PO,Portugal (Madeira Is),6.45229577957056e-05,Africa,2018-08
Sp.,SP,Spain (Africa),8.603668826738142e-05,Africa,2018-08
Alg.,AG,Algeria,6.335051857815334e-05,Africa,2018-08
,ML,Mali,5.5964088282273874e-05,Africa,2018-08
Burk.,UV,Burkina Faso,5.198152018777591e-05,Africa,2018-08
,TO,Togo,4.846003327732354e-05,Africa,2018-08
,GH,Ghana,4.809087275921827e-05,Africa,2018-08
C. d Iv.,IV,Cote d'Ivoire,4.651635747083862e-05,Africa,2018-08
Gui.,GV,Guinea,4.580994015282584e-05,Africa,2018-08
Sen.,SG,Senegal,5.487658638432221e-05,Africa,2018-08
Gam.,GA,"Gambia, The",5.3152272532949986e-05,Africa,2018-08
Gui.-Bis.,PU,Guinea-Bissau,4.733552728363395e-05,Africa,2018-08
S. Leo.,SL,Sierra Leone,4.4598254260635125e-05,Africa,2018-08
Liber.,LI,Liberia,4.4213140001718326e-05,Africa,2018-08
,BN,Benin,4.887585261464906e-05,Africa,2018-08
Nig.,NI,Nigeria,5.2902104234551196e-05,Africa,2018-08
Camer.,CM,Cameroon,4.7443364136133355e-05,Africa,2018-08
Equa. Gui.,EK,Equatorial Guinea,4.884001406469426e-05,Africa,2018-08
S. To. & Prin.,TP,Sao Tome & Principe,4.979084499955464e-05,Africa,2018-08
,GB,Gabon,5.271143963086355e-05,Africa,2018-08
Rep. of the Congo,CF,Rep of the Congo,6.175838771703876e-05,Africa,2018-08
Cen. Afr. Rep.,CT,Central African Rep,4.514414044924382e-05,Africa,2018-08
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,6.930252350492854e-05,Africa,2018-08
,CD,Chad,5.133532414801076e-05,Africa,2018-09
Mal.,MI,Malawi,7.013113962332139e-05,Africa,2018-09
Zam.,ZA,Zambia,9.27725041590152e-05,Africa,2018-09
Zimb.,ZI,Zimbabwe,7.500025203963876e-05,Africa,2018-09
Bots.,BC,Botswana,6.698845784666451e-05,Africa,2018-09
Nam.,WA,Namibia,6.300761586524726e-05,Africa,2018-09
Ang.,AO,Angola,8.200272238341232e-05,Africa,2018-09
Buru.,BY,Burundi,5.413518225543567e-05,Africa,2018-09
Rw.,RW,Rwanda,5.2186204257422084e-05,Africa,2018-09
S. Afr.,SF,South Africa,6.905209544472628e-05,Africa,2018-09
Leso.,LT,Lesotho,6.226885646960857e-05,Africa,2018-09
Swaz.,WZ,Swaziland,0.00010284948321997604,Africa,2018-09
May.,MF,Mayotte,4.764803915393749e-05,Africa,2018-09
,NG,Niger,5.1967624487924065e-05,Africa,2018-09
,SU,Sudan,5.3442476415269696e-05,Africa,2018-09
,LY,Libya,5.558173536045916e-05,Africa,2018-09
,UU,Koualou Area,4.979326827293336e-05,Africa,2018-09
Tun.,TS,Tunisia,6.379431648566301e-05,Africa,2018-09
,EG,Egypt,6.1018196408413246e-05,Africa,2018-09
,EG,Bir Tawil,5.5576508535607583e-05,Africa,2018-09
