mean,Shape_Leng,shapeGroup,shapeType,shapeID,Shape_Area,Level,shapeName,system:index
0.028959105385594423,3.80650479661,KEN,ADM2,KEN-ADM2-3690345B80272537,0.49897814552,ADM2,Mandera North,000000000000000000a2
0.029284557507986086,3.50570943842,KEN,ADM2,KEN-ADM2-3690345B24906530,0.450705547033,ADM2,Mandera South,000000000000000000a3
0.0291324091927834,3.24260233682,KEN,ADM2,KEN-ADM2-3690345B58624477,0.421128895818,ADM2,Mandera West,000000000000000000a4
0.025703724376269943,1.29324218242,KEN,ADM2,KEN-ADM2-3690345B17430316,0.0290955022547,ADM2,Manyatta,000000000000000000a5
0.027464019923048734,1.35856601576,KEN,ADM2,KEN-ADM2-3690345B38921064,0.0375362441301,ADM2,Maragwa,000000000000000000a6
0.025340886091145313,1.29471456889,KEN,ADM2,KEN-ADM2-3690345B16482253,0.0658616684111,ADM2,Marakwet East,000000000000000000a7
0.024840807587105038,1.90715505159,KEN,ADM2,KEN-ADM2-3690345B90631015,0.0625398702668,ADM2,Marakwet West,000000000000000000a8
0.02785367458776509,2.4649521207,KEN,ADM2,KEN-ADM2-3690345B26103622,0.11427469357,ADM2,Masinga,000000000000000000a9
0.03206112090773268,0.697534438437,KEN,ADM2,KEN-ADM2-3690345B48967543,0.0157547951116,ADM2,Matayos,000000000000000000aa
0.027108130338858814,0.108716416375,KEN,ADM2,KEN-ADM2-3690345B1845312,2.35884309461E-4,ADM2,Mathare,000000000000000000ab
0.025465218145177906,1.18096122013,KEN,ADM2,KEN-ADM2-3690345B19885692,0.0227258654154,ADM2,Mathioya,000000000000000000ac
0.024946678959100233,1.24595922368,KEN,ADM2,KEN-ADM2-3690345B87651686,0.0372058086936,ADM2,Mathira,000000000000000000ad
0.029986553126290307,1.7102782795,KEN,ADM2,KEN-ADM2-3690345B74692579,0.0858454452071,ADM2,Matuga,000000000000000000ae
0.031405476815805446,0.932347611725,KEN,ADM2,KEN-ADM2-3690345B94976384,0.0225701354299,ADM2,Matungu,000000000000000000af
0.02707197844185402,1.12231372516,KEN,ADM2,KEN-ADM2-3690345B75785336,0.0472449879416,ADM2,Matungulu,000000000000000000b0
0.026644121267142728,1.5985774976,KEN,ADM2,KEN-ADM2-3690345B95366259,0.0684719511619,ADM2,Mavoko,000000000000000000b1
0.02749103235266127,2.0004105827,KEN,ADM2,KEN-ADM2-3690345B17380629,0.0796827390142,ADM2,Mbooni,000000000000000000b2
0.027825432171689753,2.17716450467,KEN,ADM2,KEN-ADM2-3690345B16925429,0.11274518487,ADM2,Mogotio,000000000000000000b3
0.0255009262709937,1.62759320856,KEN,ADM2,KEN-ADM2-3690345B68956171,0.0630356253259,ADM2,Moiben,000000000000000000b4
0.02394053321985621,1.28937192014,KEN,ADM2,KEN-ADM2-3690345B10214551,0.0415259490652,ADM2,Molo,000000000000000000b5
0.026910708277701364,1.24565883033,KEN,ADM2,KEN-ADM2-3690345B14011457,0.0474703361457,ADM2,Mosop,000000000000000000b6
0.029596801585086097,4.79236639108,KEN,ADM2,KEN-ADM2-3690345B26688086,0.76021733381,ADM2,Moyale,000000000000000000b7
0.030261955990591432,1.12629178684,KEN,ADM2,KEN-ADM2-3690345B20099221,0.0293056093404,ADM2,Msambweni,000000000000000000b8
0.025075166867383217,1.44428436075,KEN,ADM2,KEN-ADM2-3690345B5889457,0.0775868756161,ADM2,Mt. Elgon,000000000000000000b9
0.030778394591030694,1.90298718005,KEN,ADM2,KEN-ADM2-3690345B22196693,0.0539592504856,ADM2,Muhoroni,000000000000000000ba
0.02698970012765652,0.670990917087,KEN,ADM2,KEN-ADM2-3690345B28934713,0.0144907557493,ADM2,Mukurweni,000000000000000000bb
0.031081881563021992,0.656216136128,KEN,ADM2,KEN-ADM2-3690345B69544108,0.0142149404228,ADM2,Mumias East,000000000000000000bc
0.031513773787471985,0.666612749647,KEN,ADM2,KEN-ADM2-3690345B35377834,0.0112386297324,ADM2,Mumias West,000000000000000000bd
0.03032716126769822,0.172803216535,KEN,ADM2,KEN-ADM2-3690345B98053312,0.00119869675733,ADM2,Mvita,000000000000000000be
