country_co,country_na,mean,month
GA,"Gambia, The",5.315227253294999e-05,2018-08
PU,Guinea-Bissau,4.733552728363395e-05,2018-08
SL,Sierra Leone,4.4598254260635125e-05,2018-08
LI,Liberia,4.4213140001718326e-05,2018-08
BN,Benin,4.887585261464906e-05,2018-08
NI,Nigeria,5.29021042345512e-05,2018-08
CM,Cameroon,4.744336413613336e-05,2018-08
EK,Equatorial Guinea,4.884001406469426e-05,2018-08
TP,Sao Tome & Principe,4.979084499955464e-05,2018-08
GB,Gabon,5.271143963086355e-05,2018-08
CF,Rep of the Congo,6.175838771703876e-05,2018-08
CT,Central African Rep,4.514414044924382e-05,2018-08
CG,Dem Rep of the Congo,6.930252350492854e-05,2018-08
CD,Chad,5.133532414801076e-05,2018-09
MI,Malawi,7.013113962332139e-05,2018-09
ZA,Zambia,9.27725041590152e-05,2018-09
ZI,Zimbabwe,7.500025203963876e-05,2018-09
BC,Botswana,6.698845784666451e-05,2018-09
WA,Namibia,6.300761586524726e-05,2018-09
AO,Angola,8.200272238341232e-05,2018-09
BY,Burundi,5.413518225543567e-05,2018-09
RW,Rwanda,5.218620425742208e-05,2018-09
SF,South Africa,6.905209544472628e-05,2018-09
LT,Lesotho,6.226885646960857e-05,2018-09
WZ,Swaziland,0.0001028494832199,2018-09
MF,Mayotte,4.764803915393749e-05,2018-09
NG,Niger,5.196762448792407e-05,2018-09
SU,Sudan,5.3442476415269696e-05,2018-09
LY,Libya,5.558173536045916e-05,2018-09
UU,Koualou Area,4.979326827293336e-05,2018-09
TS,Tunisia,6.379431648566301e-05,2018-09
EG,Egypt,6.1018196408413246e-05,2018-09
EG,Bir Tawil,5.5576508535607583e-05,2018-09
SU,Halaib Triangle,5.344587945519112e-05,2018-09
ER,Eritrea,5.175611539260196e-05,2018-09
ET,Ethiopia,4.632583520354401e-05,2018-09
DJ,Djibouti,5.0571896432462265e-05,2018-09
SO,Somalia,4.429289543151589e-05,2018-09
OD,South Sudan,4.7221870436365984e-05,2018-09
UU,Abyei Area,5.098581355611434e-05,2018-09
KE,Kenya,4.72920151850662e-05,2018-09
UG,Uganda,5.0438859833111165e-05,2018-09
TZ,Tanzania,5.850524147169753e-05,2018-09
MZ,Mozambique,8.97274968015177e-05,2018-09
CN,Comoros,4.756951571050687e-05,2018-09
MA,Madagascar,6.143617490377069e-05,2018-09
CV,Cabo Verde,4.718851226414415e-05,2018-09
WI,Western Sahara,5.189362387881797e-05,2018-09
MR,Mauritania,5.103486153715765e-05,2018-09
MO,Morocco,6.17487170319033e-05,2018-09
SP,Spain (Canary Is),6.110957574561053e-05,2018-09
PO,Portugal (Madeira Is),6.140107544259698e-05,2018-09
SP,Spain (Africa),7.710007537105363e-05,2018-09
AG,Algeria,5.60368496318772e-05,2018-09
ML,Mali,5.1447037128216616e-05,2018-09
UV,Burkina Faso,5.091265283297974e-05,2018-09
TO,Togo,4.9855146000706936e-05,2018-09
GH,Ghana,4.87443997182061e-05,2018-09
IV,Cote d'Ivoire,4.6654745094823335e-05,2018-09
GV,Guinea,4.609251935369643e-05,2018-09
SG,Senegal,5.152002287018515e-05,2018-09
GA,"Gambia, The",5.045305633462104e-05,2018-09
PU,Guinea-Bissau,4.6801074017236494e-05,2018-09
SL,Sierra Leone,4.47552967611292e-05,2018-09
LI,Liberia,4.431695333824746e-05,2018-09
BN,Benin,5.027283903757516e-05,2018-09
NI,Nigeria,5.34926202922747e-05,2018-09
CM,Cameroon,4.911119100129287e-05,2018-09
EK,Equatorial Guinea,4.9494796329345534e-05,2018-09
TP,Sao Tome & Principe,4.829678827982821e-05,2018-09
GB,Gabon,5.270568520378498e-05,2018-09
CF,Rep of the Congo,5.7363283527620055e-05,2018-09
CT,Central African Rep,4.799534917384054e-05,2018-09
CG,Dem Rep of the Congo,6.135935330295406e-05,2018-09
CD,Chad,4.9524072970184496e-05,2018-10
MI,Malawi,6.794422669822352e-05,2018-10
ZA,Zambia,6.770378130963808e-05,2018-10
ZI,Zimbabwe,6.618580013316592e-05,2018-10
BC,Botswana,6.85778803131543e-05,2018-10
WA,Namibia,6.669591565309776e-05,2018-10
AO,Angola,6.074654992897371e-05,2018-10
BY,Burundi,5.025540816489261e-05,2018-10
RW,Rwanda,5.023767692765843e-05,2018-10
SF,South Africa,7.588148423467138e-05,2018-10
LT,Lesotho,6.623920584490435e-05,2018-10
WZ,Swaziland,8.67969870335619e-05,2018-10
MF,Mayotte,4.85554398925904e-05,2018-10
NG,Niger,4.7946213531624e-05,2018-10
SU,Sudan,5.0918890511316166e-05,2018-10
LY,Libya,4.960697773419722e-05,2018-10
UU,Koualou Area,4.917581614569111e-05,2018-10
TS,Tunisia,6.136981391616145e-05,2018-10
EG,Egypt,5.685525418041642e-05,2018-10
EG,Bir Tawil,4.928949771431049e-05,2018-10
SU,Halaib Triangle,4.873761456320773e-05,2018-10
ER,Eritrea,5.0329917057159166e-05,2018-10
ET,Ethiopia,4.569650094926093e-05,2018-10
DJ,Djibouti,4.901025720403698e-05,2018-10
SO,Somalia,4.3580169764146296e-05,2018-10
OD,South Sudan,5.047733649693078e-05,2018-10
UU,Abyei Area,6.034525304844605e-05,2018-10
KE,Kenya,4.6783511016539735e-05,2018-10
UG,Uganda,4.9378985367015326e-05,2018-10
TZ,Tanzania,5.5652662927973206e-05,2018-10
MZ,Mozambique,6.982981746249552e-05,2018-10
CN,Comoros,4.712090047290507e-05,2018-10
MA,Madagascar,6.287453868839285e-05,2018-10
CV,Cabo Verde,4.513274789505631e-05,2018-10
WI,Western Sahara,4.795641024148235e-05,2018-10
MR,Mauritania,4.623410330305335e-05,2018-10
MO,Morocco,5.829713436039788e-05,2018-10
SP,Spain (Canary Is),5.862454377952474e-05,2018-10
PO,Portugal (Madeira Is),5.9218488500760365e-05,2018-10
SP,Spain (Africa),8.588045966729519e-05,2018-10
AG,Algeria,5.219396592232473e-05,2018-10
ML,Mali,4.800914120399547e-05,2018-10
UV,Burkina Faso,5.087860560615912e-05,2018-10
TO,Togo,5.015944354669381e-05,2018-10
GH,Ghana,4.9189244769729367e-05,2018-10
IV,Cote d'Ivoire,4.676871626746292e-05,2018-10
GV,Guinea,4.653653466739831e-05,2018-10
SG,Senegal,5.242753194326617e-05,2018-10
GA,"Gambia, The",5.1563746776996375e-05,2018-10
PU,Guinea-Bissau,4.851296513927536e-05,2018-10
SL,Sierra Leone,4.5156408317443305e-05,2018-10
LI,Liberia,4.458757776242944e-05,2018-10
BN,Benin,5.028989241587397e-05,2018-10
NI,Nigeria,5.55331759332011e-05,2018-10
CM,Cameroon,4.868106791233165e-05,2018-10
EK,Equatorial Guinea,4.686621381905526e-05,2018-10
TP,Sao Tome & Principe,4.414624311257132e-05,2018-10
GB,Gabon,4.772924165347175e-05,2018-10
CF,Rep of the Congo,4.9395628564388456e-05,2018-10
CT,Central African Rep,4.9389824486045176e-05,2018-10
CG,Dem Rep of the Congo,5.099666818722816e-05,2018-10
CD,Chad,5.202384500028492e-05,2018-11
MI,Malawi,5.395380807539903e-05,2018-11
ZA,Zambia,5.161191005390055e-05,2018-11
ZI,Zimbabwe,5.704006254276962e-05,2018-11
BC,Botswana,6.154851471395532e-05,2018-11
WA,Namibia,5.720133317571745e-05,2018-11
AO,Angola,4.84746530661353e-05,2018-11
BY,Burundi,4.581508919940922e-05,2018-11
RW,Rwanda,4.6127182186215936e-05,2018-11
SF,South Africa,7.100960972577501e-05,2018-11
LT,Lesotho,6.351872047572136e-05,2018-11
WZ,Swaziland,7.224064994080122e-05,2018-11
MF,Mayotte,4.984810006615895e-05,2018-11
NG,Niger,4.4959669276536285e-05,2018-11
SU,Sudan,4.977959498545829e-05,2018-11
LY,Libya,4.920299125297893e-05,2018-11
UU,Koualou Area,7.979356055294435e-05,2018-11
TS,Tunisia,5.750635008627363e-05,2018-11
EG,Egypt,5.8263550654492606e-05,2018-11
EG,Bir Tawil,4.71175728355278e-05,2018-11
SU,Halaib Triangle,4.669862270506759e-05,2018-11
ER,Eritrea,4.753962492932156e-05,2018-11
ET,Ethiopia,4.712572944852429e-05,2018-11
DJ,Djibouti,4.791767935603972e-05,2018-11
SO,Somalia,4.337000489067368e-05,2018-11
OD,South Sudan,7.100863807188174e-05,2018-11
UU,Abyei Area,7.224832394222746e-05,2018-11
KE,Kenya,4.541806329997541e-05,2018-11
UG,Uganda,5.2173141778922536e-05,2018-11
TZ,Tanzania,4.875044864160739e-05,2018-11
MZ,Mozambique,5.5888112126345824e-05,2018-11
CN,Comoros,4.834168712425396e-05,2018-11
MA,Madagascar,5.721558096492256e-05,2018-11
CV,Cabo Verde,4.603482483763134e-05,2018-11
WI,Western Sahara,4.6120675651833295e-05,2018-11
MR,Mauritania,4.493130830863503e-05,2018-11
MO,Morocco,5.408913326684249e-05,2018-11
SP,Spain (Canary Is),5.560464338842712e-05,2018-11
PO,Portugal (Madeira Is),5.465973058175871e-05,2018-11
SP,Spain (Africa),9.72275575105845e-05,2018-11
AG,Algeria,5.001046396101551e-05,2018-11
ML,Mali,4.712701538104546e-05,2018-11
UV,Burkina Faso,5.674265196119931e-05,2018-11
TO,Togo,5.389114734653713e-05,2018-11
GH,Ghana,5.480496543310722e-05,2018-11
IV,Cote d'Ivoire,4.9044589369124224e-05,2018-11
GV,Guinea,5.301064797206342e-05,2018-11
SG,Senegal,5.859221155131433e-05,2018-11
GA,"Gambia, The",5.75544584453445e-05,2018-11
PU,Guinea-Bissau,5.368374421078096e-05,2018-11
SL,Sierra Leone,4.61749556821091e-05,2018-11
LI,Liberia,4.490148200786752e-05,2018-11
BN,Benin,5.688195604294782e-05,2018-11
NI,Nigeria,5.61636064517881e-05,2018-11
CM,Cameroon,5.301227374162716e-05,2018-11
EK,Equatorial Guinea,4.619202704504885e-05,2018-11
TP,Sao Tome & Principe,4.308260712635889e-05,2018-11
GB,Gabon,4.497264624909311e-05,2018-11
CF,Rep of the Congo,4.623385109037337e-05,2018-11
CT,Central African Rep,6.109958993859988e-05,2018-11
CG,Dem Rep of the Congo,4.71726156830508e-05,2018-11
CD,Chad,5.0694195890546696e-05,2018-12
MI,Malawi,4.215654691844016e-05,2018-12
ZA,Zambia,4.218084022114097e-05,2018-12
ZI,Zimbabwe,4.985848780677727e-05,2018-12
